metric,p,n,MAE_m,median_AE_m,MAPE_percent,median_APE_percent,bias_m,RMSE_m,mean_d_metric_m,mean_d_graph_m,mean_dG_over_metric,median_dG_over_metric,mean_metric_over_dG,median_metric_over_dG
L1,1.0,10000,592.5092376140418,440.8148590082212,14.066116654528255,11.706198233098036,-232.15314096886274,810.8973275007303,4221.2781772670905,4453.431318235953,1.1017452013631401,1.042911028513049,0.9479640349557407,0.9588545667068165
L1_25,1.25,10000,694.9004223621558,526.587623819926,16.15684258791775,13.823578434417982,-637.8904862449099,935.1825123328241,3815.540831991044,4453.431318235953,1.214903922768849,1.1553244730938128,0.8551234814949832,0.8655577058231796
L1_5,1.5,10000,865.3153708310947,754.3663008909496,19.863344768656248,18.60923995137827,-861.1593218548667,1093.9162367069036,3592.271996381086,4453.431318235953,1.2896981672882648,1.2286406952034121,0.8037520614301736,0.8139076004862174
L1_54,1.54,10000,890.0751748090712,782.9503273417481,20.407718678053126,19.270548246223488,-887.3530267091852,1115.4304767613112,3566.0782915267678,4453.431318235953,1.2992396959480974,1.2387053031480346,0.7977028956123353,0.807294517537765
L1_75,1.75,10000,997.3484345151384,910.8470377082331,22.80830745917777,21.767443811494967,-997.0987484502463,1210.9476220496344,3456.3325697857067,4453.431318235953,1.341361821869176,1.2782402221333875,0.7722838539334654,0.7823255618850502
L2,2.0,10000,1085.7872492780095,1019.098794721883,24.83778773770414,23.87103065069954,-1085.7870126961968,1293.9151458443303,3367.6443055397554,4453.431318235953,1.3783932526962803,1.3135604075445895,0.7516240085932588,0.7612896934930046
L3,3.0,10000,1246.4404013757955,1195.8348985519096,28.62886644519822,27.766717952764726,-1246.4403670297395,1456.9905707766716,3206.990951206213,4453.431318235953,1.455415308076904,1.3844033826172866,0.7137120944228534,0.7223328204723527
L5,5.0,10000,1326.3341984578099,1273.0399789623277,30.562503238764506,29.8576008368491,-1326.3341651209512,1546.3096918503995,3127.097153115002,4453.431318235953,1.5023318351732613,1.4256712247982353,0.694375718524926,0.701423991631509
L10,10.0,10000,1358.1349313337612,1294.7324296709253,31.350002743921777,30.771763423363108,-1358.1348979981706,1585.2475404988377,3095.2964202377825,4453.431318235953,1.5248599076273295,1.4444972887082672,0.6865007234644254,0.6922823657663689
Linf,inf,10000,1368.0445631793864,1298.6433297983674,31.59683081133838,30.89276394023025,-1368.0445298437958,1598.5407515067177,3085.386788392157,4453.431318235953,1.5330833448904646,1.4470264722173647,0.6840324427902593,0.6910723605976974
